datum;km_stand_start;km_stand_ende;kategorie;ziel;zweck;geschaeftspartner
2026-01-05;41230;41270;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-01-08;41270;41325;privat;;;
2026-01-09;41325;41353;privat;;;
2026-01-10;41353;41493;privat;;;
2026-01-14;41493;41583;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-01-15;41583;41595;privat;;;
2026-01-17;41595;41915;privat;;;
2026-01-20;41915;42125;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-01-23;42125;42171;privat;;;
2026-01-24;42171;42189;privat;;;
2026-01-25;42189;42399;privat;;;
2026-01-26;42399;42444;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
2026-01-29;42444;42519;privat;;;
2026-01-31;42519;42552;privat;;;
2026-02-04;42552;42812;dienstreise;Muenchen, Leopoldstr. 12;Mandantengespraech;Beispiel GmbH
2026-02-05;42812;43292;privat;;;
2026-02-06;43292;43316;privat;;;
2026-02-08;43316;43378;privat;;;
2026-02-09;43378;43438;dienstreise;Sonthofen, Alpenstr. 3;Vor-Ort-Analyse;Bergwerk Systems e.K.
2026-02-12;43438;43533;privat;;;
2026-02-14;43533;43588;privat;;;
2026-02-15;43588;43616;privat;;;
2026-02-16;43616;43806;dienstreise;Ulm, Neue Str. 44;Angebotspraesentation;Muster AG
2026-02-19;43806;43946;privat;;;
2026-02-22;43946;43958;privat;;;
2026-02-23;43958;44198;dienstreise;Friedrichshafen, Messegelaende;Fachmesse, Neukundenkontakte;diverse Aussteller
2026-02-26;44198;44518;privat;;;
2026-03-01;44518;44564;privat;;;
2026-03-03;44564;44604;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-03-05;44604;44622;privat;;;
2026-03-07;44622;44832;privat;;;
2026-03-08;44832;44907;privat;;;
2026-03-11;44907;44997;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-03-12;44997;45030;privat;;;
2026-03-13;45030;45510;privat;;;
2026-03-18;45510;45720;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-03-19;45720;45744;privat;;;
2026-03-20;45744;45806;privat;;;
2026-03-24;45806;45851;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
2026-03-28;45851;45946;privat;;;
2026-03-29;45946;46001;privat;;;
2026-04-01;46001;46261;dienstreise;Muenchen, Leopoldstr. 12;Mandantengespraech;Beispiel GmbH
2026-04-03;46261;46289;privat;;;
2026-04-04;46289;46429;privat;;;
2026-04-05;46429;46441;privat;;;
2026-04-06;46441;46501;dienstreise;Sonthofen, Alpenstr. 3;Vor-Ort-Analyse;Bergwerk Systems e.K.
2026-04-10;46501;46821;privat;;;
2026-04-11;46821;46867;privat;;;
2026-04-12;46867;46885;privat;;;
2026-04-15;46885;47075;dienstreise;Ulm, Neue Str. 44;Angebotspraesentation;Muster AG
2026-04-16;47075;47285;privat;;;
2026-04-17;47285;47360;privat;;;
2026-04-19;47360;47393;privat;;;
2026-04-22;47393;47633;dienstreise;Friedrichshafen, Messegelaende;Fachmesse, Neukundenkontakte;diverse Aussteller
2026-04-24;47633;48113;privat;;;
2026-04-26;48113;48137;privat;;;
2026-04-29;48137;48177;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-04-30;48177;48239;privat;;;
2026-05-03;48239;48334;privat;;;
2026-05-05;48334;48424;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-05-09;48424;48479;privat;;;
2026-05-10;48479;48507;privat;;;
2026-05-11;48507;48717;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-05-15;48717;48857;privat;;;
2026-05-16;48857;48869;privat;;;
2026-05-19;48869;48914;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
2026-05-21;48914;49234;privat;;;
2026-05-23;49234;49280;privat;;;
2026-05-27;49280;49540;dienstreise;Muenchen, Leopoldstr. 12;Mandantengespraech;Beispiel GmbH
2026-05-28;49540;49558;privat;;;
2026-05-29;49558;49768;privat;;;
2026-05-31;49768;49843;privat;;;
2026-06-03;49843;49903;dienstreise;Sonthofen, Alpenstr. 3;Vor-Ort-Analyse;Bergwerk Systems e.K.
2026-06-05;49903;49936;privat;;;
2026-06-06;49936;50416;privat;;;
2026-06-07;50416;50440;privat;;;
2026-06-08;50440;50630;dienstreise;Ulm, Neue Str. 44;Angebotspraesentation;Muster AG
2026-06-11;50630;50692;privat;;;
2026-06-14;50692;50787;privat;;;
2026-06-17;50787;51027;dienstreise;Friedrichshafen, Messegelaende;Fachmesse, Neukundenkontakte;diverse Aussteller
2026-06-19;51027;51082;privat;;;
2026-06-21;51082;51110;privat;;;
2026-06-24;51110;51150;dienstreise;Kempten, Rathausplatz 1;Beratungstermin vor Ort;Rieger & Partner GmbH
2026-06-25;51150;51290;privat;;;
2026-06-27;51290;51302;privat;;;
2026-06-30;51302;51392;dienstreise;Memmingen, Bahnhofstr. 5;Vertragsverhandlung;Allgaeu Technik GmbH
2026-07-04;51392;51712;privat;;;
2026-07-05;51712;51758;privat;;;
2026-07-07;51758;51968;dienstreise;Augsburg, Maximilianstr. 8;Projekt-Workshop;Nordlicht KG
2026-07-09;51968;51986;privat;;;
2026-07-11;51986;52196;privat;;;
2026-07-12;52196;52271;privat;;;
2026-07-14;52271;52316;dienstreise;Kempten, Industriestr. 22;Jour fixe Projektsteuerung;Sued Handels GmbH
2026-07-16;52316;52349;privat;;;
2026-07-18;52349;52829;privat;;;
2026-07-19;52829;52853;privat;;;
2026-07-20;52853;53113;dienstreise;Muenchen, Leopoldstr. 12;Mandantengespraech;Beispiel GmbH
2026-07-24;53113;53175;privat;;;
2026-07-25;53175;53270;privat;;;
2026-07-26;53270;53325;privat;;;
2026-07-28;53325;53385;dienstreise;Sonthofen, Alpenstr. 3;Vor-Ort-Analyse;Bergwerk Systems e.K.
2026-07-30;53385;53413;privat;;;
2026-08-01;53413;53553;privat;;;
2026-08-05;53553;53743;dienstreise;Ulm, Neue Str. 44;Angebotspraesentation;Muster AG
2026-08-07;53743;53755;privat;;;
2026-08-08;53755;54075;privat;;;
2026-08-09;54075;54121;privat;;;
2026-08-11;54121;54361;dienstreise;Friedrichshafen, Messegelaende;Fachmesse, Neukundenkontakte;diverse Aussteller
2026-08-13;54361;54379;privat;;;
